archipelago_name,area,dist,archipelago_cat,latitude,longitude,native_count,endemic_count,elevation
Laccadive Islands,49.47498025,210.3,oceanic,9.779299808,72.89927684,164,0,28
Lesser Antilles,15936.29473,496.55512,oceanic,13.10284091,-62.24669602,4072,449,1456
Lesser Sunda Islands,108217.76,700.0903333,oceanic,-8.656731532,122.9435754,3306,354,3721
Line Islands,1312.518102,4234.18825,oceanic,1.141035221,-175,89,2,33
Lord Howe Island Group,25.39156043,570.358,oceanic,-31.55176464,159.0763766,265,96,465
Macquarie Island,404.8198402,1947.991,oceanic,-54.62879274,158.86377,47,6,405
Madagascar,674277.8216,602.5685714,oceanic,-19.37340309,46.70584858,11149,9318,2882
Madeira Archipelago,1182.72677,537.3811667,oceanic,32.74575813,-16.94074825,789,156,1808
Maldives,116.6273738,744.7405,oceanic,2.86677315,73.24517347,177,0,20
Maltese Archipelago,501.6176946,242.702,continental,35.92600386,14.39559027,648,11,252
Marcus Island,7.331523405,2659.842,oceanic,24.3071614,153.9529756,10,0,0
Mariana Islands,1176.629927,2522.806625,oceanic,14.71422245,145.1898138,531,60,960
Marquesas Islands,1190.511331,4789.50325,oceanic,-9.356675577,-139.5789078,391,161,1257
Marshall Islands,146.6299913,3510.085391,oceanic,8.690641393,168.4477357,132,1,29
Mascarene Islands,5257.481813,1901.802,oceanic,-20.73957671,56.57888477,1532,760,3057
Midway Islands,9.838859991,3160.091714,oceanic,28.21504167,-177.4123629,30,0,29
Mollucas,58470.21959,701.902,oceanic,-1.433251746,128.0235227,3910,648,3029
Mozambique Channel Islands,2537.940172,468.7959231,oceanic,-12.23727969,43.94151292,1140,194,2361
Nauru,20.8662743,2857.116,oceanic,-0.528568601,166.9352251,66,0,67
New Caledonia,22100.31917,1341.904286,oceanic,-21.30192211,165.7080569,3343,2493,1627
New Guinea,873411.531,149.2463333,continental,-5.325862554,141.3377324,13631,9314,5129
New Zealand,499899.8493,2099.902195,oceanic,-41.77199851,172.6048198,2453,1404,3172
Niue,301.9799852,3839.991,oceanic,-19.05345949,-169.8587078,218,4,97
Norfolk Island,54.52257662,1393.065,oceanic,-29.03787828,167.9527659,172,42,312
Northern East Coast Islands (North America),262714.9923,101.131,continental,48.61267358,-56.42592668,1047,3,811
Novaya Zemlya,1630717.965,144.81,continental,75.65785378,57.70047415,90,0,1552
Palau Islands,492.5539128,2000.909,oceanic,7.434929761,134.5221516,796,155,242
Patagonic Archipelago,61265.09836,24.824,continental,-54.32920249,-67.40923085,433,5,1460
Philippine Islands,308073.8653,816.466,continental,11.75421899,122.8818371,9947,4528,2941
Phoenix Islands,108.3270312,4421.419111,oceanic,-3.474251929,-171.8631571,28,0,25
Pitcairn Islands,84.31122273,5200.2974,oceanic,-24.47431765,-128.5216433,139,19,327
Prince Edward Island group,779.1243693,1718.927,oceanic,-46.86217927,37.76584782,25,2,1231
Revillagigedos Islands,190.3347381,489.19875,oceanic,18.75876618,-111.4908394,129,33,1040
Rotuma,47.64039676,2892.267,oceanic,-12.50282315,177.0804954,247,0,249
Saint Helena islands,586.1174091,1862.5575,oceanic,-25.26733293,-10.07674483,110,51,800
Samoa Islands,3409.884991,3929.5256,oceanic,-13.78677625,-172.0277126,956,253,1864
San Francisco Islands,0.098151743,0.788,continental,37.9649114,-122.4690768,57,0,0
Seychellen,659.5323466,1203.038981,oceanic,-7.370542579,50.49517657,636,147,904
Shakhalin,182898.863,7.495,continental,50.32854023,142.7028143,1159,72,1604
Siciliy,41042.44101,3.08,fragment,37.58604347,14.15324206,2208,182,3320
Society Islands,1951.31628,5729.204533,oceanic,-17.4178968,-149.9751267,770,255,1728
Socotra,4024.916677,94.839,fragment,12.49420295,53.79769005,749,286,1509
Solomon Islands,39952.90333,1605.56875,oceanic,-8.232521267,158.5256282,2216,390,2712
South Australian Islands,7709.656105,30.46886957,continental,-34.82139267,139.065871,1418,4,318
South China Sea Islands,17.35078236,249.27,oceanic,12.84800529,114.4632893,186,0,20
South Georgia,11062.47325,1960.822,fragment,-54.37712025,-36.6823058,20,1,2894
South Orkney Islands,86.63359225,1664.375,oceanic,-60.710988,-45.63332727,2,0,280
South Sandwich Islands,921.2802998,2661.8825,oceanic,-58.18044875,-26.63256377,2,0,550
South-East Australian Islands,2060.627998,1.202,continental,-25.25890061,153.1446707,570,0,259
Sri Lanka,67436.57836,53.82,continental,7.629895388,80.69351829,3418,889,2523
Svalbard Archipelago,1725105.001,844.8321818,oceanic,78.83911148,18.42054129,183,2,1798
Taiwan,43523.77582,128.375,continental,23.7469924,120.9718765,4500,1047,3930
Tasmania,123613.2447,80.0555,continental,-41.93153322,146.5834605,2215,496,1612
